Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1077       0.0534       0.0543   419.9
0.0500           0.1077       0.0538       0.0538   416.6
0.1000           0.1077       0.0539       0.0538   416.3
0.1500           0.1077       0.0548       0.0528   408.7
0.2000           0.1077       0.0534       0.0543   420.1
0.2500           0.1077       0.0546       0.0531   410.8
0.3000           0.1077       0.0515       0.0561   434.3
0.3500           0.1077       0.0548       0.0528   408.6
0.4000           0.1077       0.0545       0.0532   411.6
0.4500           0.1077       0.0577       0.0499   386.2
0.5000           0.1077       0.0534       0.0542   419.6
0.5500           0.1077       0.0525       0.0552   426.9
0.6000           0.1077       0.0536       0.0541   418.5
0.6500           0.1077       0.0518       0.0559   432.3
0.7000           0.1077       0.0558       0.0519   401.3
0.7500           0.1077       0.0529       0.0548   424.0
0.8000           0.1077       0.0513       0.0564   436.3
0.8500           0.1077       0.0562       0.0515   398.3
0.9000           0.1077       0.0554       0.0522   404.2
0.9500           0.1077       0.0513       0.0564   436.3
1.0000           0.1077       0.0538       0.0538   416.5
1.0500           0.1077       0.0529       0.0548   424.0
1.1000           0.1077       0.0528       0.0549   424.8
1.1500           0.1077       0.0552       0.0525   406.1
1.2000           0.1077       0.0564       0.0513   396.5
1.2500           0.1077       0.0533       0.0544   420.7
1.3000           0.1077       0.0529       0.0547   423.6
1.3500           0.1077       0.0550       0.0526   407.3
1.4000           0.1077       0.0535       0.0541   418.8
1.4500           0.1077       0.0539       0.0538   416.0
1.5000           0.1077       0.0527       0.0549   425.1
1.5500           0.1077       0.0537       0.0539   417.1
1.6000           0.1077       0.0563       0.0513   397.2
1.6500           0.1077       0.0555       0.0522   403.5
1.7000           0.1077       0.0524       0.0553   427.7
1.7500           0.1077       0.0534       0.0542   419.5
1.8000           0.1077       0.0551       0.0526   406.8
1.8500           0.1077       0.0519       0.0558   431.7
1.9000           0.1077       0.0536       0.0541   418.4
1.9500           0.1077       0.0521       0.0556   430.1
2.0000           0.1077       0.0558       0.0518   400.9
2.0500           0.1077       0.0536       0.0540   417.9
2.1000           0.1077       0.0518       0.0558   431.9
2.1500           0.1077       0.0563       0.0513   397.2
2.2000           0.1077       0.0533       0.0543   420.3
2.2500           0.1077       0.0521       0.0556   430.2
2.3000           0.1077       0.0546       0.0531   410.8
2.3500           0.1077       0.0514       0.0563   435.3
2.4000           0.1077       0.0557       0.0519   401.9
2.4500           0.1077       0.0513       0.0564   436.4
2.5000           0.1077       0.0547       0.0529   409.5
2.5500           0.1077       0.0534       0.0543   419.9
2.6000           0.1077       0.0562       0.0514   397.7
2.6500           0.1077       0.0536       0.0541   418.5
2.7000           0.1077       0.0524       0.0553   427.7
2.7500           0.1077       0.0529       0.0548   424.0
2.8000           0.1077       0.0532       0.0545   421.6
2.8500           0.1077       0.0546       0.0530   410.4
2.9000           0.1077       0.0543       0.0533   412.7
2.9500           0.1077       0.0530       0.0547   423.1
3.0000           0.1077       0.0535       0.0542   419.2
3.0500           0.1077       0.0554       0.0523   404.7
3.1000           0.1077       0.0526       0.0550   425.6
3.1500           0.1077       0.0535       0.0542   419.4
3.2000           0.1077       0.0533       0.0544   420.8
3.2500           0.1077       0.0546       0.0530   410.2
3.3000           0.1077       0.0533       0.0543   420.3
3.3500           0.1077       0.0505       0.0572   442.2
3.4000           0.1077       0.0555       0.0521   403.4
3.4500           0.1077       0.0557       0.0519   401.8
3.5000           0.1077       0.0521       0.0555   429.5
3.5500           0.1077       0.0544       0.0533   412.3
3.6000           0.1077       0.0532       0.0544   421.0
3.6500           0.1077       0.0549       0.0527   408.0
3.7000           0.1077       0.0519       0.0557   431.2
3.7500           0.1077       0.0527       0.0550   425.2
3.8000           0.1077       0.0549       0.0528   408.5
3.8500           0.1077       0.0519       0.0557   431.0
3.9000           0.1077       0.0544       0.0532   411.8
3.9500           0.1077       0.0545       0.0532   411.3
4.0000           0.1077       0.0530       0.0547   423.1
4.0500           0.1077       0.0548       0.0529   409.1
4.1000           0.1077       0.0553       0.0524   405.5
4.1500           0.1077       0.0518       0.0558   432.1
4.2000           0.1077       0.0548       0.0529   409.3
4.2500           0.1077       0.0520       0.0556   430.4
4.3000           0.1077       0.0539       0.0538   416.2
4.3500           0.1077       0.0516       0.0560   433.4
4.4000           0.1077       0.0533       0.0544   420.8
4.4500           0.1077       0.0545       0.0531   411.0
4.5000           0.1077       0.0533       0.0543   420.5
4.5500           0.1077       0.0555       0.0521   403.4
4.6000           0.1077       0.0515       0.0562   434.9
4.6500           0.1077       0.0557       0.0519   401.8
4.7000           0.1077       0.0533       0.0543   420.4
4.7500           0.1077       0.0508       0.0568   439.6
4.8000           0.1077       0.0549       0.0528   408.2
4.8500           0.1077       0.0548       0.0529   409.2
4.9000           0.1077       0.0523       0.0553   428.0
4.9500           0.1077       0.0535       0.0542   419.3
5.0000           0.1077       0.0537       0.0540   417.8
