Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0912       0.0000       0.0912   705.7
0.0250           0.0902       0.0358       0.0544   421.0
0.0500           0.0914       0.0513       0.0401   310.0
0.0750           0.0917       0.0411       0.0506   391.4
0.1000           0.0908       0.0580       0.0328   253.7
0.1250           0.0916       0.0613       0.0303   234.4
0.1500           0.0923       0.0501       0.0422   326.5
0.1750           0.0937       0.0504       0.0433   335.4
0.2000           0.0949       0.0407       0.0542   419.5
0.2250           0.0952       0.0393       0.0559   432.5
0.2500           0.0958       0.0499       0.0459   355.4
0.2750           0.0960       0.0502       0.0458   354.3
0.3000           0.0964       0.0516       0.0448   346.3
0.3250           0.0981       0.0564       0.0417   323.0
0.3500           0.0986       0.0522       0.0464   359.1
0.3750           0.0990       0.0464       0.0526   407.2
0.4000           0.0990       0.0438       0.0552   427.1
0.4250           0.0992       0.0440       0.0552   427.2
0.4500           0.0990       0.0454       0.0536   414.9
0.4750           0.0997       0.0486       0.0510   394.9
0.5000           0.1004       0.0499       0.0505   390.4
0.5250           0.1003       0.0526       0.0478   369.5
0.5500           0.0997       0.0521       0.0477   368.8
0.5750           0.1008       0.0477       0.0531   410.9
0.6000           0.1010       0.0504       0.0506   391.4
0.6250           0.1010       0.0489       0.0521   403.4
0.6500           0.1017       0.0475       0.0542   418.9
0.6750           0.1025       0.0525       0.0500   386.6
0.7000           0.1034       0.0551       0.0483   373.8
0.7250           0.1040       0.0518       0.0522   403.6
0.7500           0.1040       0.0533       0.0507   392.3
0.7750           0.1044       0.0536       0.0508   392.9
0.8000           0.1048       0.0518       0.0530   409.8
0.8250           0.1047       0.0505       0.0542   419.3
0.8500           0.1037       0.0520       0.0517   400.0
0.8750           0.1032       0.0507       0.0524   405.7
0.9000           0.1037       0.0504       0.0532   412.0
0.9250           0.1044       0.0531       0.0512   396.5
0.9500           0.1042       0.0548       0.0495   382.6
0.9750           0.1043       0.0517       0.0526   406.9
1.0000           0.1041       0.0509       0.0532   411.6
1.0250           0.1042       0.0519       0.0523   404.6
1.0500           0.1043       0.0511       0.0531   411.1
1.0750           0.1050       0.0517       0.0532   411.9
1.1000           0.1049       0.0519       0.0530   409.7
1.1250           0.1052       0.0497       0.0554   428.9
1.1500           0.1062       0.0521       0.0542   419.2
1.1750           0.1063       0.0544       0.0519   401.6
1.2000           0.1055       0.0506       0.0549   424.9
1.2250           0.1063       0.0557       0.0505   391.0
1.2500           0.1061       0.0557       0.0503   389.4
1.2750           0.1063       0.0506       0.0557   430.5
1.3000           0.1061       0.0544       0.0518   400.6
1.3250           0.1063       0.0536       0.0527   407.8
1.3500           0.1071       0.0481       0.0590   456.2
1.3750           0.1073       0.0530       0.0543   420.4
1.4000           0.1078       0.0550       0.0529   409.2
1.4250           0.1087       0.0531       0.0556   430.2
1.4500           0.1088       0.0557       0.0531   410.5
1.4750           0.1091       0.0566       0.0525   406.1
1.5000           0.1100       0.0575       0.0525   406.5
1.5250           0.1104       0.0578       0.0526   407.3
1.5500           0.1110       0.0543       0.0567   438.6
1.5750           0.1107       0.0536       0.0570   441.3
1.6000           0.1107       0.0564       0.0543   420.1
1.6250           0.1113       0.0550       0.0563   435.7
1.6500           0.1113       0.0532       0.0581   449.4
1.6750           0.1108       0.0554       0.0554   428.7
1.7000           0.1119       0.0572       0.0547   423.1
1.7250           0.1126       0.0557       0.0569   440.4
1.7500           0.1120       0.0565       0.0555   429.4
1.7750           0.1127       0.0543       0.0584   451.8
1.8000           0.1124       0.0539       0.0585   452.8
1.8250           0.1122       0.0559       0.0564   436.0
1.8500           0.1123       0.0565       0.0558   431.8
1.8750           0.1124       0.0558       0.0566   437.5
1.9000           0.1127       0.0575       0.0552   426.8
1.9250           0.1125       0.0573       0.0552   426.7
1.9500           0.1129       0.0547       0.0581   449.8
1.9750           0.1138       0.0576       0.0562   434.7
2.0000           0.1141       0.0577       0.0564   436.4
2.0250           0.1139       0.0550       0.0589   455.3
2.0500           0.1142       0.0558       0.0584   451.8
2.0750           0.1148       0.0579       0.0570   440.9
2.1000           0.1147       0.0555       0.0592   457.9
2.1250           0.1148       0.0585       0.0563   435.9
2.1500           0.1147       0.0599       0.0548   423.9
2.1750           0.1160       0.0567       0.0594   459.2
2.2000           0.1160       0.0584       0.0576   445.9
2.2250           0.1165       0.0589       0.0576   445.7
2.2500           0.1170       0.0575       0.0595   460.6
2.2750           0.1174       0.0583       0.0591   457.5
2.3000           0.1170       0.0591       0.0580   448.5
2.3250           0.1170       0.0600       0.0571   441.4
2.3500           0.1171       0.0579       0.0592   457.7
2.3750           0.1174       0.0583       0.0591   457.1
2.4000           0.1177       0.0591       0.0586   453.2
2.4250           0.1182       0.0597       0.0585   452.9
2.4500           0.1184       0.0589       0.0595   460.7
2.4750           0.1184       0.0555       0.0628   486.2
2.5000           0.1183       0.0566       0.0616   476.9
2.5250           0.1187       0.0589       0.0597   462.2
2.5500           0.1192       0.0574       0.0618   478.1
2.5750           0.1189       0.0625       0.0564   436.3
2.6000           0.1189       0.0607       0.0582   449.9
2.6250           0.1198       0.0596       0.0602   465.8
2.6500           0.1199       0.0615       0.0584   452.0
2.6750           0.1196       0.0595       0.0602   465.5
2.7000           0.1207       0.0578       0.0629   486.9
2.7250           0.1203       0.0606       0.0597   461.5
2.7500           0.1203       0.0609       0.0594   459.5
2.7750           0.1203       0.0607       0.0596   461.2
2.8000           0.1211       0.0596       0.0615   476.2
2.8250           0.1209       0.0607       0.0601   465.1
2.8500           0.1206       0.0608       0.0598   462.4
2.8750           0.1207       0.0610       0.0597   462.2
2.9000           0.1215       0.0613       0.0602   465.9
2.9250           0.1222       0.0602       0.0620   479.8
2.9500           0.1211       0.0616       0.0595   460.5
2.9750           0.1217       0.0602       0.0615   475.4
3.0000           0.1215       0.0579       0.0636   492.1
3.0250           0.1213       0.0594       0.0619   478.6
3.0500           0.1208       0.0611       0.0597   462.1
3.0750           0.1216       0.0604       0.0612   473.4
3.1000           0.1211       0.0623       0.0588   454.9
3.1250           0.1219       0.0632       0.0586   453.6
3.1500           0.1208       0.0610       0.0598   462.8
3.1750           0.1200       0.0586       0.0613   474.5
3.2000           0.1202       0.0574       0.0628   486.1
3.2250           0.1205       0.0586       0.0619   478.6
3.2500           0.1210       0.0614       0.0597   461.5
3.2750           0.1212       0.0631       0.0581   449.5
3.3000           0.1211       0.0625       0.0586   453.2
3.3250           0.1215       0.0610       0.0606   468.5
3.3500           0.1225       0.0602       0.0623   482.2
3.3750           0.1234       0.0620       0.0614   475.0
3.4000           0.1239       0.0619       0.0620   480.0
3.4250           0.1245       0.0603       0.0642   496.3
3.4500           0.1254       0.0606       0.0648   501.5
3.4750           0.1252       0.0641       0.0611   473.0
3.5000           0.1255       0.0655       0.0600   464.4
3.5250           0.1252       0.0628       0.0624   482.7
3.5500           0.1258       0.0600       0.0658   509.4
3.5750           0.1260       0.0639       0.0621   480.5
3.6000           0.1259       0.0622       0.0636   492.3
3.6250           0.1268       0.0613       0.0654   506.1
3.6500           0.1276       0.0667       0.0609   471.3
3.6750           0.1279       0.0660       0.0619   479.2
3.7000           0.1286       0.0638       0.0648   501.4
3.7250           0.1297       0.0648       0.0649   502.5
3.7500           0.1292       0.0644       0.0648   501.5
