Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0795       0.0396       0.0399   308.6
0.0500           0.0795       0.0424       0.0371   287.1
0.1000           0.0795       0.0397       0.0398   308.0
0.1500           0.0795       0.0384       0.0412   318.5
0.2000           0.0795       0.0402       0.0393   304.2
0.2500           0.0795       0.0392       0.0403   311.6
0.3000           0.0795       0.0399       0.0396   306.7
0.3500           0.0795       0.0389       0.0406   314.0
0.4000           0.0795       0.0397       0.0398   308.2
0.4500           0.0795       0.0393       0.0402   311.4
0.5000           0.0795       0.0407       0.0388   300.4
0.5500           0.0795       0.0401       0.0394   304.7
0.6000           0.0795       0.0392       0.0404   312.2
0.6500           0.0795       0.0407       0.0389   300.7
0.7000           0.0795       0.0398       0.0398   307.5
0.7500           0.0795       0.0373       0.0423   327.0
0.8000           0.0795       0.0406       0.0389   300.8
0.8500           0.0795       0.0405       0.0390   301.8
0.9000           0.0795       0.0407       0.0388   300.4
0.9500           0.0795       0.0384       0.0411   317.9
1.0000           0.0795       0.0399       0.0396   306.2
1.0500           0.0795       0.0385       0.0410   317.2
1.1000           0.0795       0.0405       0.0390   302.0
1.1500           0.0795       0.0387       0.0408   315.7
1.2000           0.0795       0.0380       0.0415   321.4
1.2500           0.0795       0.0405       0.0391   302.2
1.3000           0.0795       0.0408       0.0388   299.9
1.3500           0.0795       0.0397       0.0399   308.3
1.4000           0.0795       0.0400       0.0395   305.5
1.4500           0.0795       0.0396       0.0399   309.1
1.5000           0.0795       0.0396       0.0400   309.2
1.5500           0.0795       0.0399       0.0396   306.5
1.6000           0.0795       0.0407       0.0389   300.6
1.6500           0.0795       0.0389       0.0406   314.1
1.7000           0.0795       0.0410       0.0386   298.4
1.7500           0.0795       0.0386       0.0409   316.7
1.8000           0.0795       0.0398       0.0397   307.4
1.8500           0.0795       0.0410       0.0385   297.8
1.9000           0.0795       0.0396       0.0399   308.5
1.9500           0.0795       0.0372       0.0424   327.7
2.0000           0.0795       0.0402       0.0394   304.5
2.0500           0.0795       0.0410       0.0386   298.4
2.1000           0.0795       0.0394       0.0401   310.0
2.1500           0.0795       0.0399       0.0396   306.4
2.2000           0.0795       0.0404       0.0391   302.7
2.2500           0.0795       0.0397       0.0399   308.4
2.3000           0.0795       0.0397       0.0398   308.1
2.3500           0.0795       0.0388       0.0407   314.8
2.4000           0.0795       0.0399       0.0396   306.7
2.4500           0.0795       0.0391       0.0405   313.0
2.5000           0.0795       0.0390       0.0405   313.7
2.5500           0.0795       0.0394       0.0401   310.4
2.6000           0.0795       0.0405       0.0391   302.2
2.6500           0.0795       0.0400       0.0395   305.6
2.7000           0.0795       0.0401       0.0395   305.3
2.7500           0.0795       0.0413       0.0382   295.4
2.8000           0.0795       0.0391       0.0404   312.9
2.8500           0.0795       0.0395       0.0400   309.8
2.9000           0.0795       0.0381       0.0414   320.3
2.9500           0.0795       0.0396       0.0399   308.6
3.0000           0.0795       0.0398       0.0397   307.0
3.0500           0.0795       0.0392       0.0404   312.2
3.1000           0.0795       0.0405       0.0390   302.0
3.1500           0.0795       0.0406       0.0389   300.9
3.2000           0.0795       0.0386       0.0409   316.4
3.2500           0.0795       0.0411       0.0385   297.5
3.3000           0.0795       0.0415       0.0380   294.2
3.3500           0.0795       0.0384       0.0411   318.1
3.4000           0.0795       0.0388       0.0407   314.9
3.4500           0.0795       0.0382       0.0413   319.7
3.5000           0.0795       0.0393       0.0403   311.5
3.5500           0.0795       0.0398       0.0397   307.0
3.6000           0.0795       0.0399       0.0396   306.6
3.6500           0.0795       0.0412       0.0383   296.6
3.7000           0.0795       0.0388       0.0407   315.2
3.7500           0.0795       0.0398       0.0397   307.3
3.8000           0.0795       0.0397       0.0398   308.2
3.8500           0.0795       0.0406       0.0389   301.0
3.9000           0.0795       0.0401       0.0395   305.3
3.9500           0.0795       0.0388       0.0407   315.1
4.0000           0.0795       0.0399       0.0396   306.3
4.0500           0.0795       0.0401       0.0394   304.9
4.1000           0.0795       0.0407       0.0388   300.0
4.1500           0.0795       0.0396       0.0400   309.2
4.2000           0.0795       0.0401       0.0394   304.8
4.2500           0.0795       0.0406       0.0389   301.0
4.3000           0.0795       0.0389       0.0407   314.6
4.3500           0.0795       0.0385       0.0411   317.7
4.4000           0.0795       0.0411       0.0384   297.2
4.4500           0.0795       0.0394       0.0401   310.5
4.5000           0.0795       0.0385       0.0411   317.7
4.5500           0.0795       0.0405       0.0390   301.8
4.6000           0.0795       0.0403       0.0392   303.1
4.6500           0.0795       0.0392       0.0403   311.6
4.7000           0.0795       0.0398       0.0397   307.3
4.7500           0.0795       0.0412       0.0383   296.3
4.8000           0.0795       0.0384       0.0411   318.3
4.8500           0.0795       0.0398       0.0397   307.4
4.9000           0.0795       0.0407       0.0388   300.0
4.9500           0.0795       0.0387       0.0408   315.9
5.0000           0.0795       0.0394       0.0402   310.7
