Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1174       0.0000       0.1174   908.1
0.0250           0.1160       0.0461       0.0699   541.0
0.0500           0.1165       0.0651       0.0513   397.1
0.0750           0.1170       0.0538       0.0632   488.6
0.1000           0.1182       0.0759       0.0423   327.5
0.1250           0.1191       0.0818       0.0373   288.7
0.1500           0.1200       0.0648       0.0552   427.1
0.1750           0.1203       0.0669       0.0534   412.8
0.2000           0.1225       0.0553       0.0671   519.4
0.2250           0.1219       0.0525       0.0694   537.2
0.2500           0.1211       0.0622       0.0589   455.6
0.2750           0.1219       0.0623       0.0596   460.8
0.3000           0.1226       0.0607       0.0619   479.2
0.3250           0.1225       0.0655       0.0570   441.0
0.3500           0.1233       0.0645       0.0588   454.7
0.3750           0.1239       0.0609       0.0631   488.0
0.4000           0.1239       0.0601       0.0638   493.5
0.4250           0.1243       0.0599       0.0643   497.8
0.4500           0.1242       0.0589       0.0654   505.6
0.4750           0.1253       0.0628       0.0624   482.9
0.5000           0.1260       0.0627       0.0633   489.6
0.5250           0.1261       0.0622       0.0640   495.0
0.5500           0.1273       0.0641       0.0632   489.3
0.5750           0.1278       0.0645       0.0634   490.4
0.6000           0.1267       0.0637       0.0630   487.5
0.6250           0.1262       0.0666       0.0596   461.3
0.6500           0.1264       0.0614       0.0650   502.7
0.6750           0.1268       0.0602       0.0666   515.1
0.7000           0.1272       0.0638       0.0634   490.1
0.7250           0.1270       0.0632       0.0638   493.4
0.7500           0.1280       0.0650       0.0631   487.9
0.7750           0.1282       0.0687       0.0595   460.7
0.8000           0.1289       0.0674       0.0614   475.4
0.8250           0.1291       0.0685       0.0606   468.9
0.8500           0.1294       0.0654       0.0640   494.8
0.8750           0.1307       0.0617       0.0690   533.9
0.9000           0.1310       0.0646       0.0664   513.4
0.9250           0.1306       0.0647       0.0659   510.2
0.9500           0.1314       0.0619       0.0695   537.9
0.9750           0.1312       0.0674       0.0637   493.0
1.0000           0.1319       0.0677       0.0642   496.7
1.0250           0.1323       0.0628       0.0695   537.6
1.0500           0.1323       0.0644       0.0678   524.9
1.0750           0.1328       0.0669       0.0660   510.3
1.1000           0.1327       0.0661       0.0666   515.5
1.1250           0.1321       0.0681       0.0641   495.7
1.1500           0.1332       0.0689       0.0643   497.3
1.1750           0.1335       0.0668       0.0666   515.5
1.2000           0.1337       0.0689       0.0648   501.3
1.2250           0.1346       0.0666       0.0680   526.2
1.2500           0.1345       0.0641       0.0703   544.2
1.2750           0.1354       0.0674       0.0680   526.3
1.3000           0.1354       0.0671       0.0683   528.8
1.3250           0.1347       0.0659       0.0688   532.0
1.3500           0.1355       0.0699       0.0656   507.2
