Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1047       0.0541       0.0506   391.3
0.0500           0.1047       0.0510       0.0537   415.7
0.1000           0.1047       0.0505       0.0541   418.8
0.1500           0.1047       0.0522       0.0525   406.0
0.2000           0.1047       0.0525       0.0521   403.4
0.2500           0.1047       0.0545       0.0501   387.9
0.3000           0.1047       0.0528       0.0519   401.5
0.3500           0.1047       0.0533       0.0514   397.9
0.4000           0.1047       0.0502       0.0545   421.5
0.4500           0.1047       0.0534       0.0513   396.6
0.5000           0.1047       0.0496       0.0551   426.3
0.5500           0.1047       0.0548       0.0498   385.6
0.6000           0.1047       0.0524       0.0523   404.5
0.6500           0.1047       0.0494       0.0553   427.6
0.7000           0.1047       0.0510       0.0537   415.5
0.7500           0.1047       0.0545       0.0502   388.2
0.8000           0.1047       0.0522       0.0525   406.4
0.8500           0.1047       0.0531       0.0516   399.4
0.9000           0.1047       0.0497       0.0550   425.7
0.9500           0.1047       0.0522       0.0525   406.4
1.0000           0.1047       0.0521       0.0526   406.7
1.0500           0.1047       0.0506       0.0541   418.5
1.1000           0.1047       0.0526       0.0521   402.9
1.1500           0.1047       0.0510       0.0537   415.5
1.2000           0.1047       0.0542       0.0505   390.7
1.2500           0.1047       0.0552       0.0495   383.0
1.3000           0.1047       0.0515       0.0532   411.7
1.3500           0.1047       0.0502       0.0545   421.5
1.4000           0.1047       0.0521       0.0526   406.8
1.4500           0.1047       0.0525       0.0522   404.0
1.5000           0.1047       0.0528       0.0518   401.1
1.5500           0.1047       0.0490       0.0557   430.8
1.6000           0.1047       0.0531       0.0516   399.0
1.6500           0.1047       0.0531       0.0515   398.7
1.7000           0.1047       0.0526       0.0521   402.8
1.7500           0.1047       0.0530       0.0517   399.6
1.8000           0.1047       0.0532       0.0515   398.1
1.8500           0.1047       0.0540       0.0507   392.3
1.9000           0.1047       0.0496       0.0551   426.0
1.9500           0.1047       0.0503       0.0544   420.5
2.0000           0.1047       0.0511       0.0536   414.7
2.0500           0.1047       0.0524       0.0523   404.5
2.1000           0.1047       0.0511       0.0536   414.6
2.1500           0.1047       0.0542       0.0505   390.4
2.2000           0.1047       0.0525       0.0522   403.9
2.2500           0.1047       0.0522       0.0525   406.0
2.3000           0.1047       0.0535       0.0512   395.9
2.3500           0.1047       0.0514       0.0533   412.6
2.4000           0.1047       0.0550       0.0497   384.2
2.4500           0.1047       0.0527       0.0520   402.2
2.5000           0.1047       0.0529       0.0518   400.8
2.5500           0.1047       0.0503       0.0543   420.4
2.6000           0.1047       0.0511       0.0536   414.9
2.6500           0.1047       0.0525       0.0521   403.4
2.7000           0.1047       0.0541       0.0506   391.3
2.7500           0.1047       0.0523       0.0524   405.6
2.8000           0.1047       0.0521       0.0526   406.9
2.8500           0.1047       0.0522       0.0525   406.4
2.9000           0.1047       0.0516       0.0531   410.5
2.9500           0.1047       0.0520       0.0527   407.6
3.0000           0.1047       0.0510       0.0537   415.5
3.0500           0.1047       0.0552       0.0495   382.6
3.1000           0.1047       0.0521       0.0526   406.8
3.1500           0.1047       0.0510       0.0536   415.0
3.2000           0.1047       0.0522       0.0525   405.8
3.2500           0.1047       0.0522       0.0525   406.3
3.3000           0.1047       0.0541       0.0506   391.6
3.3500           0.1047       0.0519       0.0527   408.0
3.4000           0.1047       0.0517       0.0530   410.2
3.4500           0.1047       0.0521       0.0526   407.2
3.5000           0.1047       0.0527       0.0520   402.4
3.5500           0.1047       0.0531       0.0516   399.5
3.6000           0.1047       0.0530       0.0517   400.2
3.6500           0.1047       0.0512       0.0535   413.6
3.7000           0.1047       0.0521       0.0526   406.6
3.7500           0.1047       0.0514       0.0533   412.2
3.8000           0.1047       0.0546       0.0501   387.8
3.8500           0.1047       0.0538       0.0509   394.1
3.9000           0.1047       0.0506       0.0541   418.6
3.9500           0.1047       0.0513       0.0533   412.7
4.0000           0.1047       0.0527       0.0520   402.5
4.0500           0.1047       0.0532       0.0515   398.4
4.1000           0.1047       0.0508       0.0539   416.7
4.1500           0.1047       0.0550       0.0497   384.1
4.2000           0.1047       0.0525       0.0522   404.0
4.2500           0.1047       0.0509       0.0538   416.3
4.3000           0.1047       0.0512       0.0535   414.1
4.3500           0.1047       0.0523       0.0524   405.1
4.4000           0.1047       0.0541       0.0506   391.5
4.4500           0.1047       0.0503       0.0544   420.6
4.5000           0.1047       0.0526       0.0520   402.6
4.5500           0.1047       0.0550       0.0497   384.6
4.6000           0.1047       0.0523       0.0524   405.3
4.6500           0.1047       0.0514       0.0533   412.3
4.7000           0.1047       0.0495       0.0552   426.9
4.7500           0.1047       0.0543       0.0504   389.9
4.8000           0.1047       0.0535       0.0512   395.7
4.8500           0.1047       0.0506       0.0541   418.6
4.9000           0.1047       0.0523       0.0524   405.2
4.9500           0.1047       0.0513       0.0534   413.3
5.0000           0.1047       0.0523       0.0524   405.5
