Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0822       0.0000       0.0822   636.1
0.0250           0.0814       0.0351       0.0462   357.8
0.0500           0.0819       0.0461       0.0357   276.3
0.0750           0.0822       0.0362       0.0460   355.8
0.1000           0.0819       0.0525       0.0294   227.4
0.1250           0.0826       0.0512       0.0313   242.5
0.1500           0.0833       0.0435       0.0398   307.8
0.1750           0.0834       0.0494       0.0340   263.2
0.2000           0.0835       0.0380       0.0454   351.6
0.2250           0.0835       0.0356       0.0478   370.1
0.2500           0.0841       0.0424       0.0417   322.9
0.2750           0.0849       0.0402       0.0447   346.0
0.3000           0.0853       0.0443       0.0410   317.3
0.3250           0.0852       0.0485       0.0367   284.2
0.3500           0.0858       0.0450       0.0408   315.8
0.3750           0.0856       0.0446       0.0411   317.8
0.4000           0.0852       0.0437       0.0415   321.0
0.4250           0.0856       0.0412       0.0444   343.2
0.4500           0.0856       0.0403       0.0453   350.6
0.4750           0.0855       0.0397       0.0458   354.1
0.5000           0.0862       0.0390       0.0471   364.6
0.5250           0.0859       0.0437       0.0421   325.8
0.5500           0.0858       0.0440       0.0418   323.8
0.5750           0.0864       0.0392       0.0472   365.2
0.6000           0.0867       0.0456       0.0411   317.9
0.6250           0.0872       0.0462       0.0410   317.1
0.6500           0.0869       0.0401       0.0468   362.1
0.6750           0.0875       0.0441       0.0434   335.6
0.7000           0.0878       0.0451       0.0427   330.3
0.7250           0.0879       0.0425       0.0455   351.9
0.7500           0.0881       0.0456       0.0425   328.8
0.7750           0.0882       0.0443       0.0439   339.3
0.8000           0.0880       0.0444       0.0436   337.4
0.8250           0.0885       0.0441       0.0444   343.7
0.8500           0.0887       0.0431       0.0456   352.6
0.8750           0.0882       0.0423       0.0459   355.1
0.9000           0.0878       0.0435       0.0443   342.9
0.9250           0.0884       0.0443       0.0441   341.4
0.9500           0.0894       0.0453       0.0441   341.2
0.9750           0.0898       0.0460       0.0438   338.7
1.0000           0.0897       0.0449       0.0449   347.1
1.0250           0.0896       0.0434       0.0462   357.2
1.0500           0.0894       0.0456       0.0438   339.2
1.0750           0.0896       0.0439       0.0457   353.4
1.1000           0.0896       0.0452       0.0444   343.3
1.1250           0.0898       0.0449       0.0449   347.1
1.1500           0.0896       0.0427       0.0469   362.9
1.1750           0.0902       0.0447       0.0456   352.6
1.2000           0.0907       0.0456       0.0451   348.8
1.2250           0.0905       0.0440       0.0465   359.6
1.2500           0.0909       0.0452       0.0457   353.2
1.2750           0.0902       0.0455       0.0447   345.7
1.3000           0.0915       0.0451       0.0464   359.1
1.3250           0.0919       0.0471       0.0448   346.3
1.3500           0.0927       0.0468       0.0459   354.9
1.3750           0.0931       0.0480       0.0451   349.0
1.4000           0.0939       0.0499       0.0440   340.0
1.4250           0.0941       0.0486       0.0455   351.7
1.4500           0.0941       0.0461       0.0481   372.0
1.4750           0.0938       0.0466       0.0472   364.8
1.5000           0.0933       0.0452       0.0480   371.7
1.5250           0.0937       0.0454       0.0483   373.7
1.5500           0.0938       0.0457       0.0480   371.6
1.5750           0.0931       0.0452       0.0479   370.3
1.6000           0.0923       0.0462       0.0461   356.5
1.6250           0.0922       0.0481       0.0441   341.4
1.6500           0.0927       0.0459       0.0468   361.8
1.6750           0.0930       0.0467       0.0464   358.6
1.7000           0.0935       0.0468       0.0467   361.3
1.7250           0.0932       0.0450       0.0482   372.8
1.7500           0.0933       0.0460       0.0472   365.4
1.7750           0.0927       0.0495       0.0432   334.6
1.8000           0.0933       0.0455       0.0478   369.7
1.8250           0.0936       0.0460       0.0476   368.0
1.8500           0.0947       0.0485       0.0461   356.7
1.8750           0.0943       0.0429       0.0514   397.4
1.9000           0.0943       0.0439       0.0504   389.8
1.9250           0.0942       0.0485       0.0457   353.9
1.9500           0.0929       0.0461       0.0468   362.2
1.9750           0.0934       0.0478       0.0456   352.9
2.0000           0.0939       0.0507       0.0432   334.3
2.0250           0.0941       0.0473       0.0468   362.0
2.0500           0.0947       0.0469       0.0478   369.7
2.0750           0.0943       0.0470       0.0473   365.7
2.1000           0.0948       0.0449       0.0499   386.2
2.1250           0.0951       0.0459       0.0492   380.2
2.1500           0.0953       0.0499       0.0453   350.8
2.1750           0.0946       0.0484       0.0462   357.1
2.2000           0.0943       0.0465       0.0477   369.2
2.2250           0.0942       0.0488       0.0454   351.0
2.2500           0.0940       0.0478       0.0461   356.9
2.2750           0.0937       0.0467       0.0471   364.3
2.3000           0.0934       0.0480       0.0454   351.2
2.3250           0.0933       0.0473       0.0460   356.2
2.3500           0.0939       0.0446       0.0493   381.4
2.3750           0.0939       0.0460       0.0480   371.0
2.4000           0.0941       0.0470       0.0470   364.0
2.4250           0.0949       0.0459       0.0491   379.6
2.4500           0.0960       0.0470       0.0490   379.0
2.4750           0.0962       0.0486       0.0476   368.1
2.5000           0.0960       0.0476       0.0484   374.6
2.5250           0.0961       0.0485       0.0476   368.1
2.5500           0.0955       0.0478       0.0476   368.5
2.5750           0.0960       0.0471       0.0489   378.3
2.6000           0.0960       0.0473       0.0487   376.7
2.6250           0.0965       0.0479       0.0486   375.9
2.6500           0.0967       0.0479       0.0487   377.1
2.6750           0.0965       0.0485       0.0480   371.4
2.7000           0.0966       0.0502       0.0464   359.2
2.7250           0.0974       0.0491       0.0484   374.1
2.7500           0.0975       0.0484       0.0491   379.8
2.7750           0.0978       0.0498       0.0480   371.5
2.8000           0.0975       0.0481       0.0494   382.0
2.8250           0.0976       0.0457       0.0519   401.4
2.8500           0.0979       0.0480       0.0499   385.7
2.8750           0.0974       0.0483       0.0491   379.7
2.9000           0.0981       0.0490       0.0492   380.3
2.9250           0.0987       0.0500       0.0488   377.3
2.9500           0.0980       0.0501       0.0480   371.1
2.9750           0.0980       0.0492       0.0488   377.7
3.0000           0.0979       0.0490       0.0489   378.6
3.0250           0.0983       0.0489       0.0493   381.6
3.0500           0.0986       0.0483       0.0503   389.0
3.0750           0.0987       0.0482       0.0506   391.1
3.1000           0.0988       0.0499       0.0489   377.9
3.1250           0.0981       0.0513       0.0467   361.6
3.1500           0.0980       0.0476       0.0505   390.6
3.1750           0.0974       0.0499       0.0475   367.1
3.2000           0.0973       0.0503       0.0470   363.8
3.2250           0.0980       0.0472       0.0508   392.9
