Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0762       0.0397       0.0365   282.3
0.0500           0.0762       0.0394       0.0367   284.1
0.1000           0.0762       0.0402       0.0359   278.0
0.1500           0.0762       0.0371       0.0391   302.2
0.2000           0.0762       0.0363       0.0399   308.6
0.2500           0.0762       0.0380       0.0382   295.1
0.3000           0.0762       0.0395       0.0367   283.6
0.3500           0.0762       0.0397       0.0365   282.1
0.4000           0.0762       0.0381       0.0381   294.8
0.4500           0.0762       0.0388       0.0374   289.4
0.5000           0.0762       0.0376       0.0385   298.2
0.5500           0.0762       0.0395       0.0367   284.0
0.6000           0.0762       0.0363       0.0398   308.2
0.6500           0.0762       0.0381       0.0381   294.7
0.7000           0.0762       0.0391       0.0371   286.9
0.7500           0.0762       0.0405       0.0357   275.9
0.8000           0.0762       0.0384       0.0378   292.4
0.8500           0.0762       0.0387       0.0374   289.7
0.9000           0.0762       0.0382       0.0380   294.0
0.9500           0.0762       0.0373       0.0389   300.8
1.0000           0.0762       0.0365       0.0397   307.1
1.0500           0.0762       0.0414       0.0348   268.9
1.1000           0.0762       0.0368       0.0394   304.6
1.1500           0.0762       0.0408       0.0354   273.9
1.2000           0.0762       0.0371       0.0390   302.0
1.2500           0.0762       0.0391       0.0371   286.9
1.3000           0.0762       0.0368       0.0393   304.2
1.3500           0.0762       0.0371       0.0391   302.1
1.4000           0.0762       0.0390       0.0372   287.6
1.4500           0.0762       0.0397       0.0365   282.5
1.5000           0.0762       0.0377       0.0385   297.9
1.5500           0.0762       0.0393       0.0368   284.9
1.6000           0.0762       0.0376       0.0385   298.0
1.6500           0.0762       0.0377       0.0385   297.6
1.7000           0.0762       0.0405       0.0357   275.9
1.7500           0.0762       0.0378       0.0383   296.5
1.8000           0.0762       0.0394       0.0368   284.8
1.8500           0.0762       0.0382       0.0380   293.8
1.9000           0.0762       0.0386       0.0375   290.5
1.9500           0.0762       0.0385       0.0376   291.0
2.0000           0.0762       0.0375       0.0386   298.8
2.0500           0.0762       0.0383       0.0379   293.3
2.1000           0.0762       0.0396       0.0365   282.5
2.1500           0.0762       0.0391       0.0371   287.1
2.2000           0.0762       0.0369       0.0393   304.1
2.2500           0.0762       0.0389       0.0373   288.5
2.3000           0.0762       0.0400       0.0361   279.5
2.3500           0.0762       0.0372       0.0390   301.6
2.4000           0.0762       0.0381       0.0381   294.9
2.4500           0.0762       0.0378       0.0384   297.0
2.5000           0.0762       0.0369       0.0393   303.8
2.5500           0.0762       0.0403       0.0358   277.2
2.6000           0.0762       0.0384       0.0377   291.9
2.6500           0.0762       0.0390       0.0372   287.9
2.7000           0.0762       0.0384       0.0378   292.3
2.7500           0.0762       0.0387       0.0375   290.2
2.8000           0.0762       0.0384       0.0378   292.3
2.8500           0.0762       0.0397       0.0365   282.2
2.9000           0.0762       0.0370       0.0392   303.1
2.9500           0.0762       0.0391       0.0371   286.7
3.0000           0.0762       0.0374       0.0388   299.9
3.0500           0.0762       0.0375       0.0387   299.2
3.1000           0.0762       0.0391       0.0370   286.5
3.1500           0.0762       0.0400       0.0362   279.7
3.2000           0.0762       0.0393       0.0369   285.4
3.2500           0.0762       0.0366       0.0396   306.0
3.3000           0.0762       0.0368       0.0394   304.6
3.3500           0.0762       0.0365       0.0397   306.9
3.4000           0.0762       0.0397       0.0365   282.0
3.4500           0.0762       0.0402       0.0359   278.0
3.5000           0.0762       0.0373       0.0389   301.0
3.5500           0.0762       0.0404       0.0357   276.4
3.6000           0.0762       0.0359       0.0403   311.9
3.6500           0.0762       0.0403       0.0359   277.7
3.7000           0.0762       0.0375       0.0386   298.8
3.7500           0.0762       0.0371       0.0391   302.5
3.8000           0.0762       0.0401       0.0360   278.8
3.8500           0.0762       0.0377       0.0385   297.6
3.9000           0.0762       0.0367       0.0395   305.4
3.9500           0.0762       0.0394       0.0368   284.5
4.0000           0.0762       0.0381       0.0381   294.5
4.0500           0.0762       0.0391       0.0371   286.9
4.1000           0.0762       0.0383       0.0378   292.7
4.1500           0.0762       0.0380       0.0381   294.9
4.2000           0.0762       0.0387       0.0375   290.2
4.2500           0.0762       0.0381       0.0380   294.3
4.3000           0.0762       0.0394       0.0368   284.4
4.3500           0.0762       0.0392       0.0370   286.0
4.4000           0.0762       0.0382       0.0380   293.8
4.4500           0.0762       0.0382       0.0379   293.4
4.5000           0.0762       0.0367       0.0395   305.6
4.5500           0.0762       0.0369       0.0393   304.1
4.6000           0.0762       0.0383       0.0379   292.8
4.6500           0.0762       0.0406       0.0356   275.3
4.7000           0.0762       0.0402       0.0359   278.1
4.7500           0.0762       0.0370       0.0391   302.8
4.8000           0.0762       0.0371       0.0390   302.0
4.8500           0.0762       0.0374       0.0388   300.1
4.9000           0.0762       0.0365       0.0397   307.0
4.9500           0.0762       0.0411       0.0351   271.5
5.0000           0.0762       0.0382       0.0380   294.0
