Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0598       0.0000       0.0598   462.5
0.0250           0.0590       0.0143       0.0447   345.8
0.0500           0.0593       0.0363       0.0229   177.3
0.0750           0.0598       0.0382       0.0216   166.9
0.1000           0.0596       0.0317       0.0279   216.0
0.1250           0.0594       0.0322       0.0272   210.7
0.1500           0.0598       0.0378       0.0220   170.3
0.1750           0.0603       0.0389       0.0214   165.8
0.2000           0.0608       0.0328       0.0279   216.2
0.2250           0.0609       0.0273       0.0336   260.2
0.2500           0.0612       0.0266       0.0346   267.4
0.2750           0.0613       0.0283       0.0330   255.4
0.3000           0.0616       0.0295       0.0321   248.5
0.3250           0.0621       0.0293       0.0328   253.4
0.3500           0.0627       0.0290       0.0337   260.7
0.3750           0.0629       0.0300       0.0329   254.9
0.4000           0.0629       0.0318       0.0311   240.7
0.4250           0.0626       0.0328       0.0298   230.9
0.4500           0.0629       0.0334       0.0295   228.2
0.4750           0.0637       0.0345       0.0292   226.3
0.5000           0.0635       0.0347       0.0289   223.2
0.5250           0.0633       0.0332       0.0301   232.7
0.5500           0.0633       0.0301       0.0333   257.5
0.5750           0.0639       0.0275       0.0364   281.6
0.6000           0.0640       0.0298       0.0342   264.8
0.6250           0.0637       0.0334       0.0303   234.4
0.6500           0.0639       0.0329       0.0310   240.0
0.6750           0.0635       0.0318       0.0317   245.6
0.7000           0.0631       0.0334       0.0297   230.0
0.7250           0.0635       0.0339       0.0296   228.7
0.7500           0.0642       0.0323       0.0318   246.1
0.7750           0.0645       0.0314       0.0331   255.7
0.8000           0.0648       0.0321       0.0326   252.4
0.8250           0.0650       0.0326       0.0324   250.3
0.8500           0.0650       0.0318       0.0332   257.2
0.8750           0.0650       0.0318       0.0332   256.9
0.9000           0.0654       0.0336       0.0318   246.1
0.9250           0.0657       0.0349       0.0308   238.1
0.9500           0.0654       0.0343       0.0312   241.0
0.9750           0.0663       0.0329       0.0333   258.0
1.0000           0.0661       0.0325       0.0336   259.8
1.0250           0.0664       0.0321       0.0343   265.2
1.0500           0.0657       0.0319       0.0338   261.1
1.0750           0.0658       0.0322       0.0336   260.2
1.1000           0.0656       0.0318       0.0338   261.3
1.1250           0.0664       0.0311       0.0353   273.3
1.1500           0.0662       0.0318       0.0344   266.5
1.1750           0.0668       0.0349       0.0319   247.1
1.2000           0.0672       0.0377       0.0296   228.7
1.2250           0.0681       0.0365       0.0316   244.5
1.2500           0.0682       0.0345       0.0337   261.0
1.2750           0.0682       0.0338       0.0344   266.3
1.3000           0.0691       0.0345       0.0346   267.8
1.3250           0.0692       0.0348       0.0344   266.2
1.3500           0.0699       0.0343       0.0356   275.2
1.3750           0.0711       0.0340       0.0372   287.6
1.4000           0.0711       0.0338       0.0373   288.6
1.4250           0.0705       0.0337       0.0368   284.6
1.4500           0.0704       0.0358       0.0346   267.9
1.4750           0.0701       0.0385       0.0317   245.1
1.5000           0.0698       0.0373       0.0326   252.0
1.5250           0.0693       0.0342       0.0351   271.7
1.5500           0.0701       0.0336       0.0365   282.2
1.5750           0.0700       0.0356       0.0344   266.5
1.6000           0.0696       0.0365       0.0331   256.3
1.6250           0.0692       0.0348       0.0344   265.9
1.6500           0.0687       0.0337       0.0351   271.3
1.6750           0.0685       0.0350       0.0335   259.3
1.7000           0.0684       0.0356       0.0328   254.0
1.7250           0.0681       0.0337       0.0344   265.9
1.7500           0.0687       0.0321       0.0366   282.9
1.7750           0.0686       0.0329       0.0358   276.8
1.8000           0.0692       0.0346       0.0347   268.2
1.8250           0.0691       0.0356       0.0335   259.3
1.8500           0.0694       0.0358       0.0336   259.9
1.8750           0.0687       0.0364       0.0323   249.7
1.9000           0.0688       0.0369       0.0319   246.8
1.9250           0.0686       0.0362       0.0325   251.3
1.9500           0.0681       0.0341       0.0340   262.8
1.9750           0.0674       0.0323       0.0351   271.6
2.0000           0.0671       0.0325       0.0346   267.6
2.0250           0.0670       0.0347       0.0323   250.1
2.0500           0.0681       0.0356       0.0325   251.6
2.0750           0.0676       0.0344       0.0332   257.1
2.1000           0.0681       0.0323       0.0358   276.9
2.1250           0.0680       0.0322       0.0357   276.3
2.1500           0.0680       0.0346       0.0333   257.9
2.1750           0.0676       0.0351       0.0326   252.0
2.2000           0.0670       0.0332       0.0338   261.2
2.2250           0.0677       0.0336       0.0341   263.5
2.2500           0.0673       0.0350       0.0323   249.7
2.2750           0.0677       0.0355       0.0323   249.6
2.3000           0.0677       0.0355       0.0322   249.0
2.3250           0.0680       0.0349       0.0331   256.0
2.3500           0.0683       0.0333       0.0349   270.1
2.3750           0.0688       0.0327       0.0361   279.1
2.4000           0.0685       0.0333       0.0351   271.8
2.4250           0.0680       0.0341       0.0339   262.5
2.4500           0.0682       0.0337       0.0345   266.9
2.4750           0.0686       0.0330       0.0357   275.8
2.5000           0.0689       0.0340       0.0350   270.6
2.5250           0.0685       0.0357       0.0328   254.0
2.5500           0.0686       0.0365       0.0322   248.9
2.5750           0.0689       0.0357       0.0332   257.2
2.6000           0.0692       0.0342       0.0349   270.2
2.6250           0.0688       0.0337       0.0351   271.8
2.6500           0.0695       0.0344       0.0351   271.9
2.6750           0.0697       0.0346       0.0351   271.7
2.7000           0.0695       0.0355       0.0340   262.8
2.7250           0.0688       0.0372       0.0316   244.3
2.7500           0.0690       0.0372       0.0318   246.0
2.7750           0.0686       0.0359       0.0327   252.9
2.8000           0.0687       0.0344       0.0342   264.9
2.8250           0.0680       0.0328       0.0352   272.1
2.8500           0.0676       0.0321       0.0355   274.8
2.8750           0.0678       0.0332       0.0346   268.0
2.9000           0.0680       0.0327       0.0352   272.5
2.9250           0.0685       0.0331       0.0354   274.0
2.9500           0.0690       0.0356       0.0334   258.5
