INFO mlfcs.phonon.scph.solver: SCPH iteration 1: delta_omega=1.864513e-01 THz, frequency_min=-3.554845e-01 THz, frequency_max=8.245378e+00 THz, correction_norm=2.062171e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 2: delta_omega=3.848769e-02 THz, frequency_min=-2.502823e-01 THz, frequency_max=8.287048e+00 THz, correction_norm=1.609953e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 3: delta_omega=2.212162e-02 THz, frequency_min=-1.725351e-01 THz, frequency_max=8.302556e+00 THz, correction_norm=1.441077e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 4: delta_omega=1.256513e-02 THz, frequency_min=-1.244980e-01 THz, frequency_max=8.307812e+00 THz, correction_norm=1.384169e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 5: delta_omega=9.094486e-03 THz, frequency_min=-8.658805e-02 THz, frequency_max=8.309171e+00 THz, correction_norm=1.366092e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 6: delta_omega=6.017202e-03 THz, frequency_min=-6.042906e-02 THz, frequency_max=8.309657e+00 THz, correction_norm=1.359591e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 7: delta_omega=3.984686e-03 THz, frequency_min=-4.366932e-02 THz, frequency_max=8.309832e+00 THz, correction_norm=1.356818e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 8: delta_omega=2.905143e-03 THz, frequency_min=-3.086798e-02 THz, frequency_max=8.309865e+00 THz, correction_norm=1.355750e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 9: delta_omega=2.448958e-03 THz, frequency_min=-2.188926e-02 THz, frequency_max=8.309877e+00 THz, correction_norm=1.355372e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 10: delta_omega=1.496127e-03 THz, frequency_min=-1.570807e-02 THz, frequency_max=8.309867e+00 THz, correction_norm=1.355275e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 11: delta_omega=1.174903e-03 THz, frequency_min=-1.097764e-02 THz, frequency_max=8.309840e+00 THz, correction_norm=1.355451e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 12: delta_omega=7.872447e-04 THz, frequency_min=-7.851160e-03 THz, frequency_max=8.309854e+00 THz, correction_norm=1.355273e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 13: delta_omega=5.550955e-04 THz, frequency_min=-5.516494e-03 THz, frequency_max=8.309858e+00 THz, correction_norm=1.355210e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 14: delta_omega=3.950690e-04 THz, frequency_min=-3.860382e-03 THz, frequency_max=8.309858e+00 THz, correction_norm=1.355195e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 15: delta_omega=2.637577e-04 THz, frequency_min=-2.749292e-03 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355187e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 16: delta_omega=1.900355e-04 THz, frequency_min=-1.898991e-03 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355183e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 17: delta_omega=1.438771e-04 THz, frequency_min=-1.386099e-03 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355181e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 18: delta_omega=9.822233e-05 THz, frequency_min=-9.476894e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355181e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 19: delta_omega=6.076119e-05 THz, frequency_min=-6.980285e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 20: delta_omega=5.421749e-05 THz, frequency_min=-4.844334e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 21: delta_omega=3.454709e-05 THz, frequency_min=-3.449347e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 22: delta_omega=2.275716e-05 THz, frequency_min=-2.519534e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 23: delta_omega=1.587641e-05 THz, frequency_min=-1.855598e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 24: delta_omega=6.706451e-06 THz, frequency_min=-1.573043e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 25: delta_omega=6.176392e-06 THz, frequency_min=-1.371127e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 26: delta_omega=1.491135e-06 THz, frequency_min=-1.431678e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 27: delta_omega=6.044972e-06 THz, frequency_min=-1.452559e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 28: delta_omega=2.243056e-05 THz, frequency_min=-1.804903e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 29: delta_omega=6.237957e-06 THz, frequency_min=-1.779874e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 30: delta_omega=8.844401e-06 THz, frequency_min=-1.507068e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 31: delta_omega=5.366690e-06 THz, frequency_min=-1.493691e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 32: delta_omega=6.364791e-06 THz, frequency_min=-1.347774e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 33: delta_omega=3.209129e-06 THz, frequency_min=-1.348013e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 34: delta_omega=4.877307e-06 THz, frequency_min=-1.222115e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 35: delta_omega=1.534519e-06 THz, frequency_min=-1.208283e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
